url,name_hint,lead_org_hint,country_hint,type_hint,active_status_hint,region_hint,source_doc_id
https://www.wits.ac.za/course-finder/postgraduate/health/mscmed-virology/,MSc Med in Virology,University of the Witwatersrand,South Africa,degree,unknown,africa,gemini_africa_formal_training
https://id.usembassy.gov/united-states-and-indonesia-strengthen-health-security-with-advanced-training-in-medan/,Indonesia-DTRA Advanced Biosecurity Training,TNI / DTRA,Indonesia,bilateral_gov_training,active,asia_pacific,gemini_asia_pacific_gov
https://www.auswaertiges-amt.de/en/aussenpolitik/themen/239362-239362,German Biosecurity Programme,"Robert Koch Institute (RKI), GIZ, BNITM, FLI, IMB","Africa, Central Asia, Eastern Europe",bilateral,active,europe,gemini_europe_gov
https://bluedot.org/biosecurity,Biosecurity Fundamentals (Active recurring) *A foundational cohort-based learning program demystifying pandemic preparedness and biosecurity interventions.*,BlueDot Impact,Online / Hybrid,cohort,unknown,asia_pacific,gemini_asia_pacific_fellowships
https://oneworldonehealth.wcs.org/Training/Pandemic-Prevention-Leadership-Initiative.aspx,Pandemic Prevention Leadership Initiative (PPLI),One World One Health (WCS),Global / SE Asia,fellowship,unknown,southeast_asia,gemini_southeast_asia_fellowships
https://emphnet.net/en/our-work/public-health-programs/biorisk-management/,Toxin Identification and Control Short Course,GHD│EMPHNET,Jordan / Morocco,short_course,unknown,west_asia,gemini_west_asia_formal_training
https://aslm.org/dar-es-salaam-hosts-regional-biosafety-and-biosecurity-training-for-african-experts/,Regional Biosafety & Biosecurity Experts Workshop,ASLM / Africa CDC,"Ghana, Tanzania",short_course,unknown,africa,gemini_africa_formal_training
https://icgeb.org/fellowships/icgeb-fellowships-for-scientists-in-biosecurity-march-2026/,SMART Fellowships in Biosecurity,ICGEB,Italy / Global Facilities,fellowship,unknown,europe,gemini_europe_fellowships
https://ccpz.ui.edu.ng/educational-training,Collaborative Masters/PhD in Epizootiology,University of Ibadan (CCPZ),Nigeria,degree,unknown,africa,gemini_africa_formal_training
https://www.icgeb.org/icgeb-fellowships-in-pathogen-detection-and-biosecurity/,Fellowships in Pathogen Detection and Biosecurity (BIO-GUARD),ICGEB,"Italy, India, South Africa",fellowship,unknown,africa,gemini_africa_formal_training
https://thetrinitychallenge.org/news-and-stories/youth-competition-on-behaviour-change-winners/,Youth Funding Competition (AMR / Biosecurity),The Trinity Challenge,Global,competition_grant,unknown,southeast_asia,gemini_southeast_asia_fellowships
https://ghsanextgen.wixsite.com/home/nti-biosecurity-competition,Next Generation for Biosecurity Competition *(Active annually)*,NTI,Global,competition,unknown,south_america,gemini_south_america_fellowships
https://indopacifichealthsecurity.dfat.gov.au,SEALAB Project,"Mérieux Foundation, IQLS","KH, LA, MM",bilateral,active,southeast_asia,gemini_southeast_asia_gov
https://afrohun.org/course/onehealthmodules/,One Health Course Modules (16 Modules),AFROHUN,Online,online_course,unknown,africa,gemini_africa_formal_training
https://www.biologists.com/grants/bio-global-south-conference-travel-grants/,BiO Global South Conference Travel Grants *(Active)*,The Company of Biologists,Global,travel_grant,unknown,south_america,gemini_south_america_fellowships
https://provost.ncsu.edu/global-one-health-academy/2024/11/11/applications-open-for-2025-2026-global-one-health-fellows/,Global One Health Fellows,NC State Global One Health Academy,US,fellowship,unknown,north_america,gemini_north_america_fellowships
https://www.grants.gov/search-results-detail/306200,Biosecurity Engagement Program (BEP),US Dept of State,North America / Global,bilateral,active,north_america,gemini_north_america_gov
https://bioriskassociationphilippines.org/,BRAP Capacity Building Programs,BioRisk Association of the Philippines,Philippines,association_training,unknown,southeast_asia,gemini_southeast_asia_fellowships
https://internationalbiosafety.org/program-activities/mentoring/ifba-global-mentorship-program/,IFBA Global Mentorship Program,Int. Federation of Biosafety Associations (IFBA),Global,mentorship,unknown,southeast_asia,gemini_southeast_asia_fellowships
https://absa.org/,ABSA Annual Biosafety and Biosecurity Conference *(Active)*,ABSA International,Global,conference,unknown,south_america,gemini_south_america_fellowships
https://cdphtu.edu.np/,Master of Public Health (MPH) / M.Ed in Health Education,"Tribhuvan University, Institute of Medicine / CDPH",Nepal,degree_master_s,unknown,south_asia,gemini_south_asia_formal_training
https://disarmament.unoda.org/en/updates/regional-workshop-implementation-biological-weapons-convention-central-asia-and-mongolia,Regional Workshop on the Implementation of the BWC,UNODA,Uzbekistan,short_course,unknown,east_asia_and_australasia,gemini_east_asia_australasia_formal_training
https://aid-atlas.org/static/recipients/fiji.csv,Australia Awards Scholarships,Australian Government,Australia,scholarship,unknown,southeast_asia,gemini_southeast_asia_fellowships
https://disarmament.unoda.org/en/news/apply-young-women-biosecurity-fellowship-2025-other-2025-09-08,Young Women for Biosecurity Fellowship (Active),United Nations Office for Disarmament Affairs (UNODA),Switzerland / Online,fellowship,unknown,south_asia,gemini_south_asia_fellowships
https://forum.effectivealtruism.org/posts/8Auu2woJb8uAdjMrm/effective-thesis-activities-and-impact-evaluation-june-2021,Effective Thesis Biosecurity Track *(Active)*,Effective Thesis,Remote,mentorship,unknown,south_america,gemini_south_america_fellowships
http://coheart.ac.in/pg-diploma-in-one-health,PG Diploma in One Health / PG Cert in OH Surveillance,"Centre for One Health Education, Advocacy, Research and Training (COHEART), KVASU",India,certificate_diploma,unknown,south_asia,gemini_south_asia_formal_training
https://bwc-articlex.unog.ch/offers/biosafety-and-biosecurity-training,Biosafety and Biosecurity Training (BWC Article X),BIOTEC / NSTDA,Thailand,short_course,unknown,southeast_asia,gemini_southeast_asia_formal_training
https://jamboree.igem.org/2025/schedule,iGEM Competition (Biosecurity Special Prize),iGEM Foundation,Global,competition,unknown,southeast_asia,gemini_southeast_asia_fellowships
https://blog.igem.org/blog/2021/10/20/igem-design-league-inspire-discover-engage,iGEM Design League *(Active)*,iGEM Foundation,Latin America,competition,unknown,south_america,gemini_south_america_fellowships
https://www.matsprogram.org/team,MATS Mentorship,MATS,Remote / Hybrid,mentorship,unknown,southeast_asia,gemini_southeast_asia_fellowships
https://emphnet.net/en/our-work/public-health-programs/biorisk-management/,Safeguarding Biosecurity Consortium,EMPHNET,"Tunisia, Libya, Morocco",multilateral,concluded,west_asia,gemini_west_asia_gov
https://www.rivm.nl/en/global-health-security/fundamentalsonlaboratorybiosafety,RIVM Fundamentals on Laboratory Biosafety,National Institute for Public Health and the Environment (RIVM),Global,gov_training,active,europe,gemini_europe_gov
https://indopacifichealthsecurity.dfat.gov.au/taxonomy/term/45,Asia Pacific Consortium of Veterinary Epidemiology (APCOVE II),University of Sydney / CSIRO,Asia Pacific,bilateral_regional_body,active,south_asia,gemini_south_asia_gov
https://nonproliferation-elearning.eu/learningunits/biological-weapons/,Biological Weapons (Learning Unit 03),EU Non-Proliferation and Disarmament Consortium (EUNPDC),EU Online,short_course_online,unknown,europe,gemini_europe_fellowships
https://www.infectdis.hokudai.ac.jp/en/,Graduate School of Infectious Diseases (PhD / One Health Frontier),Hokkaido University,Japan,degree_phd,unknown,east_asia_and_australasia,gemini_east_asia_australasia_formal_training
https://www.flemingfund.org/grants/caribbean-amr-surveillance/,Caribbean AMR Surveillance Project (Phases 1 & 2),"PAHO, CARPHA, UKHSA","Guyana, Suriname, Caribbean nations",bilateral_multilateral,active,south_america,gemini_south_america_gov
https://www.aixbiosecurity.com/about,AIxBio Research Fellowship *(Active)*,ERA & Cambridge Biosecurity Hub,UK,fellowship,unknown,south_america,gemini_south_america_fellowships
https://rr-africa.woah.org/en/trainings/morocco-woah-conducts-biosafety-and-biosecurity-training-for-enhanced-biorisk-management/,Biosafety and Biosecurity Training for Enhanced Biorisk,World Organisation for Animal Health (WOAH),Morocco / MENA,short_course,unknown,west_asia,gemini_west_asia_formal_training
https://internationalbiosafety.org/ifba_members/society-for-biosafety-india-sbs/,SBS India Pre-conference Workshops (Active),"Society for Biosafety, India",India,association,unknown,south_asia,gemini_south_asia_fellowships
https://www.interpol.int/Crimes/Terrorism/Bioterrorism/BioTerrorism-Expertise,INTERPOL Bioterrorism Prevention Programme,INTERPOL,"Global, Europe",multilateral,active,europe,gemini_europe_gov
https://www.dtra.mil/Portals/125/Documents/CTR-Factsheets/DTRA-Fact-Sheet-BTRP-Aug-2023.pdf,DoD Cooperative Threat Reduction (BTRP),US DTRA,"Liberia, Sierra Leone, Mali, South Africa, Ethiopia",bilateral,active,africa,gemini_africa_gov
https://cepi.net,100 Days Mission - Clinical Trial Networks,CEPI,Global (incl. SE Asia),funder_initiative,active,southeast_asia,gemini_southeast_asia_gov
https://www.nti.org/about/programs-projects/project/fostering-biosecurity-innovation-and-risk-reduction/,AI Biodesign Innovation & Risk Reduction,"Wellcome Trust, NTI │ bio",Global (Includes SA),funder_initiative,active,south_america,gemini_south_america_gov
https://www.globalhealthmedicine.com/files/GHM_2025Vol7No2_pp77_184.pdf,JIHS Human Resource Development Pillar,JIHS (formerly NIID/NCGM),Japan / Asia-Pacific,gov_training_bilateral,planned,asia_pacific,gemini_asia_pacific_gov
https://bradford.ac.uk/courses/pg/biosecurity-biorisk-management/,Master in Biosecurity and Biorisk Management (Inactive),University of Bradford,UK,degree_master_s,unknown,europe,gemini_europe_fellowships
https://ritm.gov.ph/training/laboratory-training/biosafety-biosecurity-and-biorisk-management-training/,Biorisk Management Academy,RITM,Philippines,gov_training,active,asia_pacific,gemini_asia_pacific_gov
https://www.matsprogram.org/mentors,MATS AI Safety & Biosecurity Track,MATS,US / UK,mentorship,unknown,north_america,gemini_north_america_fellowships
https://wellcome.org/research-funding/funding-portfolio/funded-grants/establishing-genomic-epidemiology-hubs-across,Wellcome Trust Genomic Hubs,PAHO / Wellcome,LatAm / Mexico,funder_initiative,active,north_america,gemini_north_america_gov
https://vetmed.tennessee.edu/applied-one-health-in-the-galapagos/,Applied One Health in the Galapagos,University of Tennessee,Ecuador (Galapagos),short_course,unknown,south_america,gemini_south_america_formal_training
https://pbsa.org.pk/elementor-5741/,IFBA Certification Scholarship,PBSA / HSP,Pakistan,institutional_bilateral,active,south_asia,gemini_south_asia_gov
